question_id,kc_id,skill_tag,blooms_level,difficulty,question_type,question_text,option_a,option_b,option_c,option_d,correct_answer,timestamp
c6143b1e-fd3e-44f8-a47a-2162095398f3,11.1.1,identify_special_events,remember,easy,mcq,බුදු සිරිතේ විශේෂ සිදුවීම් අතුරින් ප්‍රධානතම සිදුවීම වූයේ කුමක්ද?,බුද්ධත්වයට පත්වීම,නිවන්‍ට ගිම්හාණ,ප්‍රාර්ථනාව,අධ්‍යපනය,a,2026-05-12T22:12:57.110899
e35a6f64-709f-460b-a95e-f82d08bc54a3,11.1.1,identify_special_events,remember,easy,mcq,බුදුරජාණන් වහන්සේ ඳිගු කලක් පසුවත් තනතුරු ප්‍රදානය කිරීමේ දී අනුගමනය කළ මිතුරු තීරණ ඉතිහාසිතු කුමක්ද?,ගෝත්‍රය හා කුලය,සෘජු කුසලතාවය,නිතිකම,මිතුරුත්වය,b,2026-05-12T22:12:57.110899
202b944b-d4db-4808-b84a-0943775c5531,11.1.1,acknowledge_buddhist_challenges,remember,easy,mcq,බුදුරජාණන් වහන්සේට බුද්ධත්වයක් ගෙන ගිය ප්‍රධාන අභියෝගය කුමක්ද?,දස මාර සේනා පරාජය කිරීම,ගිරිහ වැඩිම අධිකරණය,ප්‍රශාසනිකයින්ගේ විරෝධතාවය,භිකුවරුන්ගේ අවනිතිය,a,2026-05-12T22:12:57.110899
23f7e5d8-76de-4db1-9754-1c33cf568943,11.1.1,apply_buddha_principles_to_life,understand,medium,mcq,බුදුරජාණන් වහන්සේ පස්වග තවුසන්ට ධර්මය දේශනා කිරීමට පෙර ඔවුන්ට ඉතුරු කුමක්ද?,බුද්ධත්වයට පිළිගැනීම,සිතිවිල්ල වෙනස් කිරීම,දර්ශනය කිරීම,ව්‍යක්තිගත පරීක්ෂණ,a,2026-05-12T22:12:57.110899
e135960f-d76b-46de-a448-e8f3649319f5,11.1.1,analyze_triumph_over_adversity,understand,medium,mcq,බුදුරජාණන් වහන්සේ වේරංජා පුරයේ වස් විසුවිට ඔහු හමුවූ අස්ඨර අවස්ථාවලින් කුමක් උගිරුවිණි?,ඉවසීම හා අධිෂ්ඨානය අත්‍යාවශ්‍යයි,සෙනෙහස් නොපිණිසිය,ධර්මය පුළුවන්ට ගිණිතිය නොතුමිණි,බිඹුර වෙනුවෙන් බිඹුර ගිණිතිය,a,2026-05-12T22:12:57.110899
3e1329db-2ede-4fa8-a12a-5f5fe0c3e40e,11.1.1,analyze_triumph_over_adversity,analyze,hard,mcq,බුදුරජාණන් වහන්සේ තනතුරු ප්‍රදානයේ දී චන්නා හිමි අතෘප්තිමත් වුවද ඔහු පරිමාණ කිරීමට නොබිඳුවනුයේ කෙසේද?,අපේක්ෂාවෙන් මුහුණ දුන් නිසා,කුසලතාවය මතක් කර ගත්තේ නිසා,දැඩිතා සිසු කරන්නට සිටි නිසා,සිතිවිල්ල නිරුපාධ විය නිසා,a,2026-05-12T22:12:57.110899
a3cd269f-8894-418b-8839-2c2eba3febb0,11.1.1,apply_buddha_principles_to_life,analyze,hard,mcq,බුදුරජාණන්ගේ ජීවිතයෙන් ශිෂ්‍යවරුන් ශිෂ්‍යා වශයෙන් අපට අවගුණ විය හැකි වඩාතුරටත් වැදගත් පාඩමක්ට නුවනින් වෙනුවෙන් බිඹුර ගිණිතිය විය?,අභියෝග සුවඳු කිරීම සඳහා අධිෂ්ඨානය අවශ්‍යයි,සිතිවිල්ල පිතුරුවිය යුතුයි,තිරිසන්ටුන්ට ක්‍රිස්කම කිරීම අවශ්‍යයි,විසුවිවිධ දැකීම අවශ්‍යයි,a,2026-05-12T22:12:57.110899
4e05c52f-8773-40b9-b71a-e337bad9f0a4,11.2.1,identify_healthcare_principles,remember,easy,mcq,පූතිගත්ත තිස්ස තෙරුන්ගේ රෝගයේ ලක්ෂණ කුමක්ද?,සිරුරේ බිබිළි හටගැනිම,උදරාබාධ,කණ්ඩුවාසි,ඇසින් රෝගය,a,2026-05-12T22:12:57.110899
8a7e462a-c229-4920-88c3-79b23aae2bc9,11.2.1,recognize_compassion_in_healing,remember,easy,mcq,බුදුරජාණන් වහන්සේ පූතිගත්ත තිස්ස තෙරුන්ට සහාය දුන්නේ කිවිතරේ කුමක් නිසාද?,තෙරුන්ගේ බිඹුරු අයිතිවාසිකම,ශ්‍රැවක සමාජයේ පිඩිතම,ඔසේ කරුණා සිතුවිල්ල,බිඹුර නීතිමය කර්තව්‍යය,c,2026-05-12T22:12:57.110899
4bca5483-5a45-4bb6-878f-5b54265779d8,11.2.1,apply_service_to_sick,understand,medium,mcq,බුදුරජාණන් වහන්සේ ගිලනුන්ට උපස්ථාන කිරීම සඳහා කුමක් පිතුරුවෙන් ඐතිවිශ්‍යෙන් කර ඇත්තේ නම්?,ගිලනුන්ට උපස්ථාන කිරීම බුද්ධ පූජාව බව පිතුරුවීම,ගිලනුන්ට නිරිසි කිරීම පිළිබඳ ගුරුවරුන්ගේ නිර්දේශ,වෛද්‍යවරුන්ගේ ක්‍රියාවලිය අනුගමනය කිරීම,සිසුවරුන්ගේ නිතිකම උගනිමු,a,2026-05-12T22:12:57.110899
c2f6cdf7-934d-493d-8370-7e4f2e9d1a75,11.2.1,understand_buddha_medicine_practice,understand,medium,mcq,බුදුරජාණන් වහන්සේ ගිලනුන්ට උපස්ථාන කරන්නකු තුළ තිබිය යුතු ගුණාංග කිහිපයක් කුමක්ද?,මුහුණ ඐතිවිශ්‍යේ හා අධිෂ්ඨානය,එකිනෙකා හිතකිරි සිතුවිල්ල හා සිතිවිල්ල අධිෂ්ඨානය,බිඹුර ගිණිතිය හා කරුණා,සිතිවිල්ල අධිෂ්ඨානය සිතුවිල්ල,c,2026-05-12T22:12:57.110899
199a2dd1-6c79-4d8b-9fa3-db1ff03b5a9f,11.2.1,analyze_nurse_responsibilities,analyze,hard,mcq,ගිලනු උපස්ථාන කිරීමේ දී බිඹුර ස්වභාවයක් පිතුරුවීම සිතිවිල්ල කිරීමෙන් කුමක් ප්‍රතිඵලයක් ලබා ගත හැකිද?,සිතිවිල්ල උපස්ථාන ස්වභාවයක් ඇති කිරීම,කරුණා සිතුවිල්ල බිඹුර දේ සිතිවිල්ල,බිඹුර ගිණිතිය සඳහා එකිනෙකා ඔවුනොවුන්ට උපකාරී වීම,බිඹුර විඩුවීම ඔවුනොවුන්ගේ සඳහා,c,2026-05-12T22:12:57.110899
